bond_code,bond_name,apply_date,apply_code,player_code,amount_per_stock,plan_amount,actual_amount,result_date,open_date,stock_code,stock_name,conver_price,winning_rate,end_date
128060,中装转债,2019/3/26,72822,82822,0.875,5.25亿,5.25亿,2019/3/28,2019/4/15,2822,中装建设,6.19,0.051,2025/3/26
128061,启明转债,2019/3/27,72439,82439,1.1682,10.45亿,10.45亿,2019/3/29,2019/4/24,2439,启明星辰,28.29,0.014,2025/3/27
128062,亚药转债,2019/4/2,72370,82370,1.7987,9.65亿,9.65亿,2019/4/4,2019/4/24,2370,亚太药业,16.25,0.029,2025/4/2
128063,未来转债,2019/4/3,72631,82631,0.9433,6.30亿,6.30亿,2019/4/8,2019/4/24,2631,德尔未来,8.67,0.015,2025/4/3
128064,司尔转债,2019/4/8,72538,82538,1.114,8.00亿,8.00亿,2019/4/10,2019/5/7,2538,司尔特,6.15,0.02,2025/4/8
128065,雅化转债,2019/4/16,72497,82497,0.8443,8.00亿,8.00亿,2019/4/18,2019/5/10,2497,雅化集团,8.96,0.063,2025/4/16
128066,亚泰转债,2019/4/17,72811,82811,2.6666,4.80亿,4.80亿,2019/4/19,2019/5/14,2811,亚泰国际,14.8,0.009,2025/4/17
128067,一心转债,2019/4/19,72727,82727,1.0614,6.03亿,6.03亿,2019/4/23,2019/5/17,2727,一心堂,27.28,0.009,2025/4/19
128068,和而转债,2019/6/4,72402,82402,0.6394,5.47亿,5.47亿,2019/6/6,2019/7/1,2402,和而泰,9.09,0.083,2025/6/4
128069,华森转债,2019/6/24,72907,82907,0.7498,3.00亿,3.00亿,2019/6/26,2019/7/11,2907,华森制药,18.08,0.019,2025/6/24
128070,智能转债,2019/7/2,72877,82877,0.6917,2.30亿,2.30亿,2019/7/4,2019/7/23,2877,智能自控,9.55,0.025,2025/7/2
128071,合兴转债,2019/8/16,72228,82228,0.5093,5.96亿,5.96亿,2019/8/20,2019/9/16,2228,合兴包装,4.38,0.086,2025/8/16
128072,翔鹭转债,2019/8/20,72842,82842,1.0994,3.02亿,3.02亿,2019/8/22,2019/9/16,2842,翔鹭钨业,15.36,0.031,2025/8/19
128073,哈尔转债,2019/8/22,72615,82615,0.7309,3.00亿,3.00亿,2019/8/26,2019/9/11,2615,哈尔斯,5.8,0.038,2024/8/22
128074,游族转债,2019/9/23,72174,82174,1.2943,11.50亿,11.50亿,2019/9/25,2019/10/21,2174,游族网络,17.06,0.093,2025/9/23
128075,远东转债,2019/9/23,72406,82406,1.593,8.94亿,8.94亿,2019/9/25,2019/10/31,2406,远东传动,5.79,0.016,2025/9/23
128076,金轮转债,2019/10/14,72722,82722,1.2196,2.14亿,2.14亿,2019/10/16,-,2722,金轮股份,14.96,0.016,2025/10/14
128077,华夏转债,2019/10/16,72928,82928,1.315,7.90亿,7.90亿,2019/10/18,-,2928,华夏航空,10.52,0.02,2025/10/16
128078,太极转债,2019/10/21,72368,82368,2.4226,10.00亿,10.00亿,2019/10/23,-,2368,太极股份,31.61,0.043,2025/10/21
128079,英联转债,2019/10/21,72846,82846,1.1,2.14亿,2.14亿,2019/10/23,-,2846,英联股份,13.54,0.015,2025/10/21
