bond_code,bond_name,apply_date,apply_code,player_code,amount_per_stock,plan_amount,actual_amount,result_date,open_date,stock_code,stock_name,conver_price,winning_rate,end_date
113017,吉视转债,2017/12/27,783929,764929,0.501,15.60亿,15.60亿,2017/12/29,2018/1/15,601929,吉视传媒,2.98,0.4,2023/12/26
113018,常熟转债,2018/1/19,783128,764128,1.349,30.00亿,30.00亿,2018/1/23,2018/2/6,601128,常熟银行,7.61,0.192,2024/1/19
113019,玲珑转债,2018/3/1,783966,764966,1.666,20.00亿,20.00亿,2018/3/5,2018/3/22,601966,玲珑轮胎,19.1,0.212,2023/2/28
113020,桐昆转债,2018/11/19,783233,764233,2.085,38.00亿,38.00亿,2018/11/21,2018/12/12,601233,桐昆股份,12.51,0.192,2024/11/18
113021,中信转债,2019/3/4,783998,764998,1.174,400.00亿,400.00亿,2019/3/6,2019/3/19,601998,中信银行,7.22,0.018,2025/3/3
113022,浙商转债,2019/3/12,783878,764878,1.049,35.00亿,35.00亿,2019/3/14,2019/3/28,601878,浙商证券,12.46,0.017,2025/3/11
113024,核建转债,2019/4/8,783611,764611,1.141,29.96亿,29.96亿,2019/4/10,2019/4/26,601611,中国核建,9.87,0.02,2025/4/7
113025,明泰转债,2019/4/10,783677,764677,3.117,18.39亿,18.39亿,2019/4/12,2019/5/7,601677,明泰铝业,11.3,0.03,2025/4/9
113026,核能转债,2019/4/15,783985,764985,0.501,78.00亿,78.00亿,2019/4/17,2019/5/8,601985,中国核电,6.2,0.031,2025/4/14
113027,华钰转债,2019/6/14,783020,764020,1.216,6.40亿,6.40亿,2019/6/18,2019/7/10,601020,华钰矿业,10.17,0.072,2025/6/13
113028,环境转债,2019/6/18,783200,764200,2.375,21.70亿,21.70亿,2019/6/20,2019/7/8,601200,上海环境,10.44,0.031,2025/6/17
113502,嘉澳转债,2017/11/10,754822,753822,2.522,1.85亿,1.85亿,2017/11/14,2017/11/27,603822,嘉澳环保,45.48,0.001,2023/11/9
113503,泰晶转债,2017/12/15,754738,753738,1.896,2.15亿,2.15亿,2017/12/19,2018/1/2,603738,泰晶科技,25.41,0.009,2023/12/14
113504,艾华转债,2018/3/2,754989,753989,2.303,6.91亿,6.91亿,2018/3/6,2018/3/23,603989,艾华集团,36.59,0.022,2024/3/1
113505,杭电转债,2018/3/6,754618,753618,1.135,7.80亿,7.80亿,2018/3/8,2018/3/27,603618,杭电股份,7.29,0.084,2024/3/5
113506,鼎信转债,2018/4/16,754421,753421,1.354,6.00亿,6.00亿,2018/4/18,2018/5/14,603421,鼎信通讯,21.65,0.072,2024/4/15
113507,天马转债,2018/4/17,754668,753668,1.027,3.05亿,3.05亿,2018/4/19,2018/5/7,603668,天马科技,7.37,0.03,2024/4/16
113508,新凤转债,2018/4/26,754225,753225,2.554,21.53亿,21.53亿,2018/5/2,2018/5/16,603225,新凤鸣,16.83,0.234,2024/4/25
113509,新泉转债,2018/6/4,754179,753179,1.98,4.50亿,4.50亿,2018/6/6,2018/6/22,603179,新泉股份,18.89,0.031,2024/6/3
113510,再升转债,2018/6/19,754601,753601,0.21,1.14亿,1.14亿,2018/6/21,2018/7/13,603601,再升科技,8.59,0.063,2024/6/18
113511,千禾转债,2018/6/20,754027,753027,1.092,3.56亿,3.56亿,2018/6/22,2018/7/10,603027,千禾味业,18.31,0.143,2024/6/19
113512,景旺转债,2018/7/6,754228,753228,2.397,9.78亿,9.78亿,2018/7/10,2018/7/24,603228,景旺电子,49.85,0.23,2024/7/5
113513,安井转债,2018/7/12,754345,753345,2.314,5.00亿,5.00亿,2018/7/16,2018/7/31,603345,安井食品,35.08,0.115,2024/7/11
