Cust_ID,Bo_Age,Ln_Orig,Orig_LTV_Ratio_Pct,Credit_score,First_home,Tot_mthly_debt_exp,Tot_mthly_incm,orig_apprd_val_amt,pur_prc_amt,DTI Ratio,Status,OUTCOME,State,Median_state_inc,UPB>Appraisal
1393,28,161000,92,685,Y,673,2857,60000,51100,0.235562,Active,non-default,LA,"35,523",1
1394,23,78000,100,806,N,1995,6006,53000,51750,0.332168,Active,non-default,TX,"41,275",1
1395,34,172080,100,640,N,1427,4756,75000,52000,0.300042,Active,non-default,PA,"44,286",1
1396,41,322700,85,670,N,0,5025,70000,52000,0,Active,non-default,NY,"44,228",1
1397,37,318250,95,760,Y,870,2000,55000,52000,0.435,Active,non-default,IN,"43,003",1
1398,37,220000,80,579,Y,872,2618,54000,52000,0.333079,Active,non-default,NC,"39,000",1
1399,34,280000,89,651,N,589,1709,52000,52000,0.344646,Active,non-default,TN,"38,550",1
1400,49,148750,85,707,N,938,2042,52500,52000,0.459354,Active,non-default,IL,"45,787",1
1401,31,150900,95,667,N,394,1500,54000,52000,0.262667,Active,non-default,LA,"35,523",1
1402,28,252474,95,671,N,670,2475,55000,52300,0.270707,Active,non-default,NC,"39,000",1
1403,35,279000,90,716,N,415,1152,54000,52380,0.360243,Active,non-default,PA,"44,286",1
1404,37,180000,80,668,Y,631,1660,78000,52400,0.38012,Active,non-default,OH,"44,160",1
1405,41,258825,102,615,N,680,2386,55200,52500,0.284996,Active,non-default,TX,"41,275",1
1406,37,176000,80,621,N,1185,3464,56000,52500,0.34209,Active,non-default,GA,"43,217",1
1407,26,213300,97,685,Y,1157,1825,57000,52500,0.633973,Active,non-default,TX,"41,275",1
1408,37,176700,95,724,N,922,3413,52500,52500,0.270144,Active,non-default,PA,"44,286",1
1409,31,212000,80,736,Y,462,3300,65000,52500,0.14,Active,non-default,LA,"35,523",1
1410,34,259383,102,656,Y,782,1776,63000,52562,0.440315,Active,non-default,WI,"47,220",1
1411,40,216195,102,560,Y,575,2187,60000,52600,0.262917,Active,non-default,TX,"41,275",1
1412,37,212000,80,727,N,1084,2580,52900,52900,0.420155,Active,non-default,PA,"44,286",1
1413,28,118650,95,697,N,885,2470,53000,52901,0.3583,Active,non-default,FL,"40,171",1
1414,25,180000,100,649,N,1262,4886,60000,53000,0.258289,Active,non-default,LA,"35,523",1
1415,59,165000,100,777,Y,1665,3803,55000,53000,0.437812,Active,non-default,IL,"45,787",1
1416,29,170155,100,685,N,331,2667,53000,53000,0.124109,Active,non-default,NY,"44,228",1
1417,32,189000,100,609,Y,353,759,54000,53000,0.465086,Active,non-default,AR,"33,948",1
1418,42,274050,102,732,N,542,2166,53000,53000,0.250231,Active,non-default,PA,"44,286",1
1419,47,146000,88,640,N,0,2000,56000,53000,0,Active,non-default,PA,"44,286",1
1420,29,279750,95,749,Y,544,2350,56000,53000,0.231489,Active,non-default,KS,"43,725",1
1421,31,241600,80,644,Y,500,1709,53000,53000,0.292569,Active,non-default,TN,"38,550",1
1422,33,261250,95,744,Y,622,1733,53000,53000,0.358915,Active,non-default,VA,"53,275",1
1423,35,168000,100,622,N,1315,3001,56500,53001,0.438187,Active,non-default,NE,"44,623",1
1424,25,199955,102,759,N,921,2566,53500,53500,0.358924,Active,non-default,OH,"44,160",1
1425,37,222300,95,763,N,688,2203,54000,53500,0.312301,Active,non-default,AR,"33,948",1
1426,37,140000,80,627,N,1581,3689,54000,53500,0.428571,Active,non-default,KY,"37,396",1
1427,37,193500,90,715,N,944,2251,55000,53500,0.419369,Active,non-default,OH,"44,160",1
1428,43,220000,80,552,Y,1131,2228,65000,53500,0.50763,Active,non-default,FL,"40,171",1
1429,37,208075,102,633,Y,473,1413,57000,53560,0.334749,Active,non-default,PA,"44,286",1
1430,35,226700,95,647,Y,555,1893,55000,53900,0.293185,Active,non-default,IN,"43,003",1
1431,37,274500,90,660,Y,370,1516,64500,53900,0.244063,Active,non-default,FL,"40,171",1
1432,28,165000,100,701,N,1376,3638,55500,54000,0.37823,Active,non-default,FL,"40,171",1
1433,26,139000,98,634,N,654,2916,59000,54000,0.22428,Active,non-default,IA,"43,042",1
1434,33,223100,97,557,Y,582,1620,54000,54000,0.359259,Active,non-default,MO,"43,988",1
