Date,Open,High,Low,Close,Adj Close,Volume
2019/7/29,293.079987,298.390015,290.089996,292.720001,292.720001,82900
2019/7/30,292.01001,296.98999,292.01001,294.450012,294.450012,66300
2019/7/31,294.480011,296.600006,290.01001,293.529999,293.529999,70000
2019/8/1,294.390015,296.209991,287.709991,288.329987,288.329987,85600
2019/8/2,287.429993,294.720001,283.459991,292.600006,292.600006,65200
2019/8/5,291.440002,291.440002,277.640015,280.279999,280.279999,90600
2019/8/6,281.950012,298.970001,281.950012,293.440002,293.440002,88200
2019/8/7,301.359985,360,300.98999,324.790009,324.790009,368000
2019/8/8,326.100006,338.149994,323.600006,336.549988,336.549988,167300
2019/8/9,335.5,338.920013,328.040009,333.76001,333.76001,66400
2019/8/12,333.730011,350.869995,332.660004,346.5,346.5,76500
2019/8/13,347.799988,356.119995,345.459991,352.130005,352.130005,59300
2019/8/14,346.160004,353.230011,343.390015,347.529999,347.529999,75500
2019/8/15,349.769989,360.910004,346.910004,356.929993,356.929993,63900
2019/8/16,357.140015,366,355.179993,364.809998,364.809998,43600
